,Regional_indicator,Perceptions_of_happiness,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Dollar_price
0,Latin America and Caribbean,5.928999999999999,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001,4.125534109
1,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,4.527955
2,Western Europe,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004,3.8826300000000002
3,Western Europe,6.834,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999,4.624897499999999
4,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.7559999999999999,5.1015675730000005
5,North America and ANZ,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415,4.655696795
6,Latin America and Caribbean,6.172000000000001,10.071,0.882,70.0,0.742,-0.044000000000000004,0.83,3.844095545
7,East Asia,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,2.917127072
8,Latin America and Caribbean,6.0120000000000005,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,3.2436045289999997
9,Latin America and Caribbean,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809,4.000034935
10,Central and Eastern Europe,6.965,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868,3.281399714
11,Western Europe,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179,4.606490545
12,Middle East and North Africa,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795,1.753983785
13,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,3.5971425000000004
14,Western Europe,7.8420000000000005,10.775,0.9540000000000001,72.0,0.9490000000000001,-0.098,0.18600000000000003,5.207292
15,Western Europe,6.69,10.704,0.9420000000000001,74.0,0.8220000000000001,-0.147,0.5710000000000001,4.681995
16,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46,4.4536050000000005
17,Western Europe,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823,3.8255324999999996
18,Central and Eastern Europe,5.992000000000001,10.357999999999999,0.943,68.0,0.755,-0.18600000000000003,0.8759999999999999,3.208947528
19,South Asia,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,2.757231925
20,Southeast Asia,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867,2.4029320469999997
21,Western Europe,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363,4.6477365
22,Middle East and North Africa,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753,4.773337099
23,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,4.79619
24,East Asia,5.94,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638,3.3610472319999998
25,Southeast Asia,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,2.003027833
26,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,2.754240265
27,Western Europe,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997,4.1224395
28,North America and ANZ,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242,4.432259999999999
29,Western Europe,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27,5.9141601889999995
30,South Asia,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,3.5663338089999996
31,Latin America and Caribbean,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999,3.229278794
32,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.09699999999999999,0.742,2.649451821
33,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,2.723399666
34,Western Europe,5.928999999999999,10.421,0.879,72.6,0.892,-0.244,0.887,3.7113375
35,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,2.278135388
36,Middle East and North Africa,6.494,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684,3.199872005
37,Southeast Asia,6.377000000000001,11.488,0.915,76.953,0.927,-0.018000000000000002,0.08199999999999999,4.06474559
39,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,3.843969772
40,Western Europe,6.4910000000000005,10.571,0.932,74.7,0.7609999999999999,-0.081,0.745,4.33941
41,South Asia,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,3.772971215
42,Western Europe,7.3629999999999995,10.867,0.934,72.7,0.945,0.086,0.237,5.818920701000001
43,Western Europe,7.571000000000001,11.117,0.9420000000000001,74.4,0.919,0.025,0.292,6.741689571
44,Southeast Asia,5.985,9.805,0.888,67.40100000000001,0.884,0.287,0.895,3.496246676
45,Middle East and North Africa,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,3.006110094
46,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,1.697858383
47,North America and ANZ,6.9510000000000005,11.023,0.92,68.2,0.8370000000000001,0.098,0.698,5.3
48,Latin America and Caribbean,6.431,9.966000000000001,0.925,69.1,0.8959999999999999,-0.092,0.59,4.52882773
49,Latin America and Caribbean,4.8919999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,4.055555556
50,Southeast Asia,5.4110000000000005,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999,2.63939294
