,Country,Regional.indicator,Ladder.score,Standard.error.of.ladder.score,upperwhisker,lowerwhisker,Logged.GDP.per.capita,Social.support,Healthy.life.expectancy,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Ladder.score.in.Dystopia,Explained.by..Log.GDP.per.capita,Explained.by..Social.support,Explained.by..Healthy.life.expectancy,Explained.by..Freedom.to.make.life.choices,Explained.by..Generosity,Explained.by..Perceptions.of.corruption,Dystopia...residual,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
1,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,70,16.9675,4.125534109,13.20754717,-22.15973379,20.7455405,18.93364341,40.28042446,64.01620756,33.52248889
2,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,5.9,1.303016483,4.527955,1.113207547,-14.56688679,-11.7012462,-13.02624962,2.584216459,19.94171106,-2.357724145
3,Austria,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,3.4,0.875695083,3.88263,0.641509434,-26.74283019,-19.25065697,-20.46237459,-6.186579902,9.686874995,-10.70599201
4,Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,4.05,0.875695083,4.6248975,0.764150943,-12.73778302,-0.932285979,-2.418887481,15.09543886,34.5698622,9.550776705
5,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,16.5,3.2343,5.101567573,3.113207547,-3.744008065,56.8507817,54.49709251,82.22697206,113.0602113,73.44828365
6,Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,5.97,1.2823,4.655696795,1.126415094,-12.15666425,-1.126293136,-2.609983384,14.87004415,34.30633016,9.336240265
7,Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,2550,663.355,3.844095545,481.1320755,-27.46989538,10.99223407,9.326694258,28.94917397,50.7676824,22.73711543
8,China,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,19.8,6.7875,2.917127072,3.735849057,-44.95986657,-9.569135884,-10.92613357,5.061271422,22.83788965,0
9,Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,9900,3052.16,3.243604529,1867.924528,-38.79991454,3.799919933,2.24230736,20.59324732,40.99791299,14.78373114
10,Costa Rica,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,2290,572.495,4.000034935,432.0754717,-24.52764274,NA,NA,NA,NA,NA
11,Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,75,22.8561,3.281399714,14.1509434,-38.08679785,-10.54592626,-11.88826632,3.92645047,21.51105428,-1.08015155
12,Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,30,6.51255,4.606490545,5.660377358,-13.08508405,-11.58967879,-12.91635638,2.713833864,20.09326004,-2.23435099
